date;home_team;away_team;home_team_fifa_rank;away_team_fifa_rank;home_team_total_fifa_points;away_team_total_fifa_points;home_team_score;away_team_score;tournament;country;home_team_result;home_team_goalkeeper_score;away_team_goalkeeper_score;home_team_mean_defense_score;home_team_mean_offense_score;home_team_mean_midfield_score;away_team_mean_defense_score;away_team_mean_offense_score;away_team_mean_midfield_score
29/07/2021;USA;Qatar;20;58;1555;1397;1;0;Gold Cup;USA;Win;76.0;;75.5;76.7;75.2;;;
25/07/2021;Costa Rica;Canada;50;70;1423;1340;0;2;Gold Cup;USA;Lose;87.0;75.0;71.0;68.7;68.5;71.2;70.7;74.2
18/07/2021;USA;Canada;20;70;1555;1340;1;0;Gold Cup;USA;Win;76.0;75.0;75.5;76.7;75.2;71.2;70.7;74.2
10/07/2021;Brazil;Argentina;3;8;1742;1641;0;1;Copa América;Brazil;Lose;90.0;82.0;84.8;87.3;86.0;80.0;90.0;82.5
07/07/2021;England;Denmark;4;10;1686;1631;2;1;UEFA Euro;England;Win;82.0;84.0;84.5;87.7;83.8;79.0;77.7;80.5
03/07/2021;Argentina;Ecuador;8;53;1641;1413;3;0;Copa América;Brazil;Win;82.0;74.0;80.0;90.0;82.5;76.8;78.0;75.5
02/07/2021;Switzerland;Spain;13;6;1606;1648;1;1;UEFA Euro;Russia;Lose;86.0;86.0;78.2;75.0;80.5;86.8;83.7;85.8
29/06/2021;England;Germany;4;12;1686;1609;2;0;UEFA Euro;England;Win;82.0;90.0;84.5;87.7;83.8;83.5;85.0;86.8
28/06/2021;Croatia;Spain;14;6;1605;1648;3;5;UEFA Euro;Denmark;Lose;80.0;86.0;78.8;78.7;84.0;86.8;83.7;85.8
28/06/2021;France;Switzerland;2;13;1757;1606;3;3;UEFA Euro;Romania;Lose;87.0;86.0;85.5;86.7;87.0;78.2;75.0;80.5
27/06/2021;Belgium;Portugal;1;5;1783;1666;1;0;UEFA Euro;Spain;Win;89.0;84.0;81.0;86.0;85.2;83.8;84.3;85.2
27/06/2021;Brazil;Ecuador;3;53;1742;1413;1;1;Copa América;Brazil;Draw;90.0;74.0;84.8;87.3;86.0;76.8;78.0;75.5
26/06/2021;Wales;Denmark;17;10;1570;1631;0;4;UEFA Euro;Netherlands;Lose;75.0;84.0;75.2;70.0;79.8;79.0;77.7;80.5
23/06/2021;Portugal;France;5;2;1666;1757;2;2;UEFA Euro;Hungary;Draw;84.0;87.0;83.8;84.3;85.2;85.5;86.7;87.0
19/06/2021;Spain;Poland;6;21;1648;1549;1;1;UEFA Euro;Spain;Draw;86.0;87.0;86.8;83.7;85.8;77.0;83.3;77.5
19/06/2021;Germany;Portugal;12;5;1609;1666;4;2;UEFA Euro;Germany;Win;90.0;84.0;83.5;85.0;86.8;83.8;84.3;85.2
18/06/2021;Argentina;Uruguay;8;9;1641;1639;1;0;Copa América;Brazil;Win;82.0;82.0;80.0;90.0;82.5;82.5;82.3;81.0
17/06/2021;Denmark;Belgium;10;1;1631;1783;1;2;UEFA Euro;Denmark;Lose;84.0;89.0;79.0;77.7;80.5;81.0;86.0;85.2
15/06/2021;Germany;France;12;2;1609;1757;0;1;UEFA Euro;Germany;Lose;90.0;87.0;83.5;85.0;86.8;85.5;86.7;87.0
13/06/2021;England;Croatia;4;14;1686;1605;1;0;UEFA Euro;England;Win;82.0;80.0;84.5;87.7;83.8;78.8;78.7;84.0
12/06/2021;Wales;Switzerland;17;13;1570;1606;1;1;UEFA Euro;Wales;Draw;75.0;86.0;75.2;70.0;79.8;78.2;75.0;80.5
11/06/2021;Japan;Serbia;28;25;1509;1512;1;0;Kirin Challenge Cup;Japan;Win;72.0;81.0;75.5;75.7;76.8;79.0;80.0;82.0
09/06/2021;USA;Costa Rica;20;50;1555;1423;4;0;Friendly;USA;Win;76.0;87.0;75.5;76.7;75.2;71.0;68.7;68.5
08/06/2021;Morocco;Ghana;34;49;1479;1425;1;0;Friendly;Morocco;Win;76.0;67.0;77.5;80.7;79.2;74.8;76.3;78.2
06/06/2021;Belgium;Croatia;1;14;1783;1605;1;0;Friendly;Belgium;Win;89.0;80.0;81.0;86.0;85.2;78.8;78.7;84.0
06/06/2021;USA;Mexico;20;11;1555;1629;3;2;CONCACAF Nations League;USA;Win;76.0;79.0;75.5;76.7;75.2;76.8;83.7;78.2
04/06/2021;Spain;Portugal;6;5;1648;1666;0;0;Friendly;Spain;Draw;86.0;84.0;86.8;83.7;85.8;83.8;84.3;85.2
04/06/2021;Brazil;Ecuador;3;53;1742;1413;2;0;FIFA World Cup qualification;Brazil;Win;90.0;74.0;84.8;87.3;86.0;76.8;78.0;75.5
03/06/2021;Mexico;Costa Rica;11;50;1629;1423;0;0;CONCACAF Nations League;USA;Win;79.0;87.0;76.8;83.7;78.2;71.0;68.7;68.5
02/06/2021;France;Wales;2;17;1757;1570;3;0;Friendly;France;Win;87.0;75.0;85.5;86.7;87.0;75.2;70.0;79.8
02/06/2021;Germany;Denmark;12;10;1609;1631;1;1;Friendly;Austria;Draw;90.0;84.0;83.5;85.0;86.8;79.0;77.7;80.5
30/05/2021;Switzerland;USA;13;20;1606;1555;2;1;Friendly;Switzerland;Win;86.0;76.0;78.2;75.0;80.5;75.5;76.7;75.2
31/03/2021;England;Poland;4;19;1670;1559;2;1;FIFA World Cup qualification;England;Win;82.0;87.0;84.5;87.7;83.8;77.0;83.3;77.5
30/03/2021;Costa Rica;Mexico;50;9;1427;1632;0;1;Friendly;Austria;Lose;87.0;79.0;71.0;68.7;68.5;76.8;83.7;78.2
27/03/2021;Wales;Mexico;18;9;1562;1632;1;0;Friendly;Wales;Win;75.0;79.0;75.2;70.0;79.8;76.8;83.7;78.2
27/03/2021;Serbia;Portugal;30;5;1492;1662;2;2;FIFA World Cup qualification;Serbia;Draw;81.0;84.0;79.0;80.0;82.0;83.8;84.3;85.2
25/03/2021;Japan;South Korea;27;38;1502;1465;3;0;Friendly;Japan;Win;72.0;75.0;75.5;75.7;76.8;72.5;75.7;77.0
24/03/2021;Belgium;Wales;1;18;1780;1562;3;1;FIFA World Cup qualification;Belgium;Win;89.0;75.0;81.0;86.0;85.2;75.2;70.0;79.8
18/11/2020;Poland;Netherlands;18;15;1568;1596;1;2;UEFA Nations League;Poland;Lose;87.0;81.0;77.0;83.3;77.5;85.2;82.3;84.0
18/11/2020;Belgium;Denmark;1;13;1765;1610;4;2;UEFA Nations League;Belgium;Win;89.0;84.0;81.0;86.0;85.2;79.0;77.7;80.5
17/11/2020;Croatia;Portugal;9;5;1634;1661;2;3;UEFA Nations League;Croatia;Lose;80.0;84.0;78.8;78.7;84.0;83.8;84.3;85.2
